,Temperament Count
Intelligent,93
Affectionate,54
Alert,52
Friendly,48
Loyal,48
Playful,37
Gentle,33
Energetic,29
Active,25
Fearless,24
Trainable,23
Protective,23
Independent,21
Lively,20
Companionable,19
Confident,19
Obedient,18
Loving,18
Courageous,16
Calm,14
Stubborn,13
Reserved,12
Even Tempered,11
Outgoing,11
Strong,11
Happy,11
Devoted,11
Faithful,9
Agile,9
Quiet,9
Sweet-Tempered,9
Spirited,9
Sociable,9
Strong Willed,8
Aloof,8
Dignified,8
Keen,8
Responsive,7
Sensitive,7
Adaptable,7
Bold,7
Docile,7
Patient,7
Dominant,7
Quick,6
Watchful,6
Attentive,6
Cheerful,6
Tenacious,5
Curious,5
Familial,5
Clever,5
Hardy,5
Eager,5
Reliable,5
Kind,5
Steady,5
Good-natured,4
Assertive,4
Inquisitive,4
Clownish,4
Powerful,4
Athletic,4
Easygoing,3
Vocal,3
Trusting,3
Bright,3
Joyful,3
Self-confidence,3
Gay,3
Brave,3
Mischievous,3
Territorial,3
Proud,3
Self-assured,3
Charming,2
Tolerant,2
Suspicious,2
Amiable,2
Lovable,2
Feisty,2
Hard-working,2
Dutiful,2
Cautious,2
Bubbly,1
Respectful,1
Thoughtful,1
Generous,1
Cat-like,1
Sturdy,1
Benevolent,1
Fun-loving,1
Opinionated,1
Trustworthy,1
Aggressive,1
Extroverted,1
Adventurous,1
Unflappable,1
Spunky,1
Diligent,1
Willful,1
Fast,1
Self-important,1
Wild,1
Cooperative,1
Boisterous,1
Rational,1
Good-tempered,1
Determined,1
Excitable,1
Stable,1
Refined,1
Fierce,1
Rugged,1
Responsible,1
Receptive,1
Great-hearted,1
Merry,1
Composed,1
Hardworking,1
People-Oriented,1
Bossy,1
Cunning,1
Vigilant,1
